bar_id,instrument_id,edo,step,step_name,cents_from_step0,ratio_to_step0,freq_if_step0_is_C
8EDO-001,8limit,8,0,C3,0.000,1.000000000,129.199000
8EDO-002,8limit,8,1,C3+150c,150.000,1.090507733,150.732000
8EDO-003,8limit,8,2,C3+300c,300.000,1.189207115,161.499000
8EDO-004,8limit,8,3,C3+450c,450.000,1.296839555,172.266000
8EDO-005,8limit,8,4,C3+600c,600.000,1.414213562,183.032000
8EDO-006,8limit,8,5,C3+750c,750.000,1.542210825,204.565000
8EDO-007,8limit,8,6,C3+900c,900.000,1.681792831,226.099000
8EDO-008,8limit,8,7,C3+1050c,1050.000,1.834008086,236.865000
8EDO-009,8limit,8,8,C4,1200.000,2.000000000,258.398000
8EDO-010,8limit,8,9,C4+150c,1350.000,2.181015465,290.698000
8EDO-011,8limit,8,10,C4+300c,1500.000,2.378414230,312.231000
8EDO-012,8limit,8,11,C4+450c,1650.000,2.593679109,344.531000
8EDO-013,8limit,8,12,C4+600c,1800.000,2.828427125,376.831000
8EDO-014,8limit,8,13,C4+750c,1950.000,3.084421651,409.131000
8EDO-015,8limit,8,14,C4+900c,2100.000,3.363585661,441.431000
8EDO-016,8limit,8,15,C4+1050c,2250.000,3.668016173,484.497000
8EDO-017,8limit,8,16,C5,2400.000,4.000000000,527.563000
