bar_id,instrument_id,edo,step,step_name,hz_svg,cents_from_step0,ratio_to_step0,freq_if_step0_is_C
9EDO-001,9EDO_MICRORIMBA,9,0,C,129.504,0.000000,1.000000000000,130.812782650299
9EDO-002,9EDO_MICRORIMBA,9,1,C+133.333c,146.414,133.333333,1.080059738892,141.285619873058
9EDO-003,9EDO_MICRORIMBA,9,2,C+266.667c,151.006,266.666667,1.166529039576,152.596909709333
9EDO-004,9EDO_MICRORIMBA,9,3,C+400.000c,172.567,400.000000,1.259921049895,164.813778456435
9EDO-005,9EDO_MICRORIMBA,9,4,C+533.333c,182.503,533.333333,1.360790000174,178.008726525512
9EDO-006,9EDO_MICRORIMBA,9,5,C+666.667c,194.524,666.666667,1.469734492275,192.260058691696
9EDO-007,9EDO_MICRORIMBA,9,6,C+800.000c,206.169,800.000000,1.587401051968,207.652348789972
9EDO-008,9EDO_MICRORIMBA,9,7,C+933.333c,226.234,933.333333,1.714487965706,224.276941614472
9EDO-009,9EDO_MICRORIMBA,9,8,C+1066.667c,246.401,1066.666667,1.851749424575,242.232494999692
9EDO-010,9EDO_MICRORIMBA,9,9,C+1200.000c,265.721,1200.000000,2.000000000000,261.625565300599
9EDO-011,9EDO_MICRORIMBA,9,10,C+1333.333c,286.626,1333.333333,2.160119477784,282.571239746116
9EDO-012,9EDO_MICRORIMBA,9,11,C+1466.667c,306.205,1466.666667,2.333058079153,305.193819418666
9EDO-013,9EDO_MICRORIMBA,9,12,C+1600.000c,328.255,1600.000000,2.519842099790,329.627556912870
9EDO-014,9EDO_MICRORIMBA,9,13,C+1733.333c,355.984,1733.333333,2.721580000348,356.017453051024
9EDO-015,9EDO_MICRORIMBA,9,14,C+1866.667c,387.592,1866.666667,2.939468984551,384.520117383392
9EDO-016,9EDO_MICRORIMBA,9,15,C+2000.000c,419.414,2000.000000,3.174802103936,415.304697579945
9EDO-017,9EDO_MICRORIMBA,9,16,C+2133.333c,452.099,2133.333333,3.428975931412,448.553883228944
9EDO-018,9EDO_MICRORIMBA,9,17,C+2266.667c,486.419,2266.666667,3.703498849149,484.464989999383
9EDO-019,9EDO_MICRORIMBA,9,18,C+2400.000c,527.143,2400.000000,4.000000000000,523.251130601197

