bar_id,instrument_id,edo,step,step_name,cents_from_step0,ratio_to_step0,freq_if_step0_is_C
harmonic-001,harmonic,harmonic,0,H1,0.0,1/1,64.600
harmonic-002,harmonic,harmonic,1,H2,1200.0,2/1,129.199
harmonic-003,harmonic,harmonic,2,H3,1901.955001,3/1,193.799
harmonic-004,harmonic,harmonic,3,H4,2400.0,4/1,258.398
harmonic-005,harmonic,harmonic,4,H5,2786.313714,5/1,322.998
harmonic-006,harmonic,harmonic,5,H6,3101.955001,6/1,398.364
harmonic-007,harmonic,harmonic,6,H7,3368.825907,7/1,462.964
harmonic-008,harmonic,harmonic,7,H8,3600.0,8/1,527.563
harmonic-009,harmonic,harmonic,8,H9,3803.910003,9/1,592.163
harmonic-010,harmonic,harmonic,9,H10,3986.313714,10/1,656.763
harmonic-011,harmonic,harmonic,10,H11,4151.317942,11/1,721.362
harmonic-012,harmonic,harmonic,11,H12,4301.955001,12/1,785.962
harmonic-013,harmonic,harmonic,12,H13,4440.527828,13/1,850.562
harmonic-014,harmonic,harmonic,13,H14,4568.825907,14/1,915.161
harmonic-015,harmonic,harmonic,14,H15,4688.268715,15/1,990.527
harmonic-016,harmonic,harmonic,15,H16,4800.0,16/1,1055.127
harmonic-017,harmonic,harmonic,16,H17,4905.903039,17/1,1119.727
harmonic-018,harmonic,harmonic,17,H18,5005.865004,18/1,1184.326
harmonic-019,harmonic,harmonic,18,H19,5100.0,19/1,1248.926
harmonic-020,harmonic,harmonic,19,H20,5189.736572,20/1,1313.525
harmonic-021,harmonic,harmonic,20,H21,5272.696813,21/1,1378.125
harmonic-022,harmonic,harmonic,21,H22,5350.992186,22/1,1442.725
harmonic-023,harmonic,harmonic,22,H23,5425.094614,23/1,1507.324
harmonic-024,harmonic,harmonic,23,H24,5494.820005,24/1,1582.690
harmonic-025,harmonic,harmonic,24,H25,5560.0,25/1,1647.290
harmonic-026,harmonic,harmonic,25,H26,5622.348978,26/1,1701.123
harmonic-027,harmonic,harmonic,26,H27,5681.865004,27/1,1765.723
harmonic-028,harmonic,harmonic,27,H28,5738.825907,28/1,1841.089
harmonic-029,harmonic,harmonic,28,H29,5793.424698,29/1,1905.688
harmonic-030,harmonic,harmonic,29,H30,5845.850722,30/1,1970.288
harmonic-031,harmonic,harmonic,30,H31,5895.258438,31/1,2045.654
harmonic-032,harmonic,harmonic,31,H32,5943.803498,32/1,2110.254
